row_id,cell_id,anonymized_cell_id,batch_id,protocol_readable,C1,C2,C3,C4,cycle_life,label_source,source_cell_id,source_path
0,surrogate_cell_00000,surrogate_cell_00000,2018-08-28_oed_0,4-6-5.6-4.2,4.0,6.0,5.6,4.2,1042.2447170981145,author_model_prediction,2018-08-28_oed_0_CH9,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH9_structure.json
1,surrogate_cell_00001,surrogate_cell_00001,2018-08-28_oed_0,6-4-5.2-4.457,6.0,4.0,5.2,4.457,848.2812247347063,author_model_prediction,2018-08-28_oed_0_CH10,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH10_structure.json
2,surrogate_cell_00002,surrogate_cell_00002,2018-08-28_oed_0,4.8-5.6-5.6-3.733,4.8,5.6,5.6,3.733,1129.259520668165,author_model_prediction,2018-08-28_oed_0_CH11,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH11_structure.json
3,surrogate_cell_00003,surrogate_cell_00003,2018-08-28_oed_0,4-5.6-5.6-4.421,4.0,5.6,5.6,4.421,1186.9981894005618,author_model_prediction,2018-08-28_oed_0_CH12,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH12_structure.json
4,surrogate_cell_00004,surrogate_cell_00004,2018-08-28_oed_0,7-4-5.2-4.03,7.0,4.0,5.2,4.03,662.2716907356823,author_model_prediction,2018-08-28_oed_0_CH13,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH13_structure.json
5,surrogate_cell_00005,surrogate_cell_00005,2018-08-28_oed_0,5.2-6-4-4.457,5.2,6.0,4.0,4.457,732.7893657970685,author_model_prediction,2018-08-28_oed_0_CH14,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH14_structure.json
6,surrogate_cell_00006,surrogate_cell_00006,2018-08-28_oed_0,8-4-4-4.8,8.0,4.0,4.0,4.8,600.5971936736323,author_model_prediction,2018-08-28_oed_0_CH15,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH15_structure.json
7,surrogate_cell_00007,surrogate_cell_00007,2018-08-28_oed_0,8-5.6-4-3.574,8.0,5.6,4.0,3.574,558.6822900380835,author_model_prediction,2018-08-28_oed_0_CH18,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH18_structure.json
8,surrogate_cell_00008,surrogate_cell_00008,2018-08-28_oed_0,5.6-5.6-4.8-3.733,5.6,5.6,4.8,3.733,767.8590603135334,author_model_prediction,2018-08-28_oed_0_CH19,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH19_structure.json
9,surrogate_cell_00009,surrogate_cell_00009,2018-08-28_oed_0,6-4.4-4.8-4.328,6.0,4.4,4.8,4.328,654.8785179018416,author_model_prediction,2018-08-28_oed_0_CH20,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH20_structure.json
