row_id,split
0,train
1,train
2,train
3,val
4,val
5,train
6,train
7,test
8,train
9,train
10,train
11,train
12,test
13,train
14,test
15,val
16,train
17,val
18,val
19,train
20,train
21,val
22,train
23,train
24,val
25,train
26,test
27,train
28,train
29,test
30,val
31,test
32,test
33,test
34,train
35,val
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,val
46,test
47,train
48,train
49,test
50,train
51,test
52,train
53,train
54,train
55,val
56,test
57,train
58,test
59,test
60,val
61,test
62,val
63,test
64,train
65,train
66,val
67,val
68,train
69,test
70,train
71,train
72,train
73,test
74,train
75,train
76,test
77,test
78,test
79,val
80,train
81,val
82,train
83,train
84,train
85,val
86,val
87,train
88,train
89,val
90,train
91,train
92,train
93,train
94,train
95,test
96,test
97,train
98,train
99,train
100,train
101,test
102,train
103,train
104,test
105,train
106,val
107,val
108,val
109,train
110,train
111,val
112,train
113,test
114,train
115,test
116,train
117,train
118,train
119,train
120,test
121,test
122,train
123,train
124,train
125,test
126,val
127,test
128,val
129,train
130,train
131,val
132,train
133,train
134,val
135,train
136,train
137,train
138,val
139,val
140,train
141,train
142,train
143,train
144,val
145,train
146,train
147,train
148,train
149,val
150,train
151,train
152,train
153,train
154,train
155,train
156,test
157,train
158,train
159,train
160,train
161,train
162,train
163,test
164,train
165,val
166,test
167,train
168,train
169,test
170,train
171,test
172,train
173,val
174,val
175,train
176,train
177,train
178,test
