feature_name,feature_family,family,feature_source,operator_name,operator_type,is_true_curve_feature,is_proxy_feature,uses_raw_cycles_interpolated,uses_summary,uses_protocol,cycle_indices,step_type,x_axis,y_signal,aggregation,transform,description,program_id,cycle_index_convention
discharge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,last,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,last,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_capacity,last,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_max_cycle_0_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"0,99",,,discharge_capacity,max,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_delta_cycle_0_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"0,99",,,discharge_capacity,delta,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_slope_cycle_0_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"0,99",,,discharge_capacity,slope,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_intercept_cycle_0_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"0,99",,,discharge_capacity,intercept,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_max_cycle_91_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"91,99",,,discharge_capacity,max,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_delta_cycle_91_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"91,99",,,discharge_capacity,delta,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_slope_cycle_91_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"91,99",,,discharge_capacity,slope,,,attia_severson_like_idx9_99,raw_zero_based
discharge_capacity_intercept_cycle_91_to_99,capacity_summary,capacity_summary,summary_or_raw_cycle_mean,cycle_window_stats,cycle_window_stats,False,False,False,True,False,"91,99",,,discharge_capacity,intercept,,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_min_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,min,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_mean_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,mean,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_var_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,var,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_skew_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,skew,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_sum_abs_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,sum_abs,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_identity_sum_sq_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,sum_sq,identity,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_min_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,min,log_abs,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_mean_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,mean,log_abs,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_var_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,var,log_abs,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_skew_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,skew,log_abs,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_sum_abs_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,sum_abs,log_abs,,attia_severson_like_idx9_99,raw_zero_based
discharge_discharge_capacity_curve_delta_log_abs_sum_sq_cycle_99_minus_9,true_curve_difference,true_curve_difference,raw_cycles_interpolated,cross_cycle_curve_delta,cross_cycle_curve_delta,True,False,True,False,False,"9,99",discharge,voltage,discharge_capacity,sum_sq,log_abs,,attia_severson_like_idx9_99,raw_zero_based
