feature_name,feature_family,family,feature_source,operator_name,operator_type,is_true_curve_feature,is_proxy_feature,uses_raw_cycles_interpolated,uses_summary,uses_protocol,cycle_indices,step_type,x_axis,y_signal,aggregation,transform,description,program_id,cycle_index_convention
discharge_capacity_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
discharge_capacity_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_capacity,last,,,broad_physics,raw_zero_based
discharge_capacity_mean_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_capacity,mean,,,broad_physics,raw_zero_based
charge_capacity_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_capacity,last,,,broad_physics,raw_zero_based
charge_capacity_mean_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_capacity,mean,,,broad_physics,raw_zero_based
charge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_capacity,last,,,broad_physics,raw_zero_based
charge_capacity_mean_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_capacity,mean,,,broad_physics,raw_zero_based
charge_capacity_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,charge_capacity,last,,,broad_physics,raw_zero_based
charge_capacity_mean_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,charge_capacity,mean,,,broad_physics,raw_zero_based
charge_capacity_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,charge_capacity,last,,,broad_physics,raw_zero_based
charge_capacity_mean_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,charge_capacity,mean,,,broad_physics,raw_zero_based
charge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,charge_capacity,last,,,broad_physics,raw_zero_based
charge_capacity_mean_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,charge_capacity,mean,,,broad_physics,raw_zero_based
