row_id,cell_id,discharge_capacity_cycle_0,discharge_capacity_cycle_1,discharge_capacity_cycle_9,discharge_capacity_difference_cycle_9_minus_0,discharge_capacity_log_abs_difference_cycle_9_minus_0
0,surrogate_cell_00000,1.5322578,1.0522928,1.0564919,-0.4757659000000001,-0.3226066887638874
1,surrogate_cell_00001,1.545769,1.0550736,1.0592695,-0.48649949999999986,-0.3129176017407851
2,surrogate_cell_00002,1.5421211,1.053073,1.0578543,-0.4842667999999999,-0.31491530396730044
3,surrogate_cell_00003,1.5526532,1.0577432,1.0621078,-0.4905454,-0.3093207924481891
4,surrogate_cell_00004,1.567601,1.0791575,1.0828794,-0.4847216000000001,-0.31450762696131507
5,surrogate_cell_00005,1.5491842,1.0542371,1.0571291,-0.49205509999999997,-0.30798626250392963
6,surrogate_cell_00006,1.540329,1.0439922,1.0488098,-0.49151920000000016,-0.3084595128438007
7,surrogate_cell_00007,1.5598054,1.0722029,1.0763844,-0.4834209999999999,-0.31567448759312
8,surrogate_cell_00008,1.5561621,1.070062,1.073041,-0.4831211000000002,-0.31594399456917854
9,surrogate_cell_00009,1.5617932,1.0730541,1.0770957,-0.4846975,-0.31452922029904906
10,surrogate_cell_00010,1.5050322,1.0313729,1.0367346,-0.4682976000000001,-0.32947806794713874
11,surrogate_cell_00011,1.5172178,1.0396895,1.0469475,-0.47027030000000014,-0.3276524483280743
12,surrogate_cell_00012,1.5398018,1.0534149,1.058342,-0.4814598000000001,-0.31743996890617915
13,surrogate_cell_00013,1.5138826,1.0385963,1.0452957,-0.46858690000000003,-0.32920985687606724
14,surrogate_cell_00014,1.5043811,1.0279111,1.0336059,-0.47077520000000006,-0.3271864234547753
15,surrogate_cell_00015,1.5103087,1.032864,1.0388833,-0.4714254,-0.32658702176269916
16,surrogate_cell_00016,1.5689918,1.0785199,1.0823331,-0.4866587,-0.31277550833369944
17,surrogate_cell_00017,1.5511949,1.0521789,1.0554293,-0.49576560000000014,-0.3047236111866874
18,surrogate_cell_00018,1.5234953,1.0411249,1.0453142,-0.4781811,-0.32040759327144536
19,surrogate_cell_00019,1.532091,1.0386913,1.0423111,-0.48977990000000005,-0.3099990417873971
20,surrogate_cell_00020,1.541219,1.0536847,1.0585938,-0.4826252,-0.31639000539521867
21,surrogate_cell_00021,1.5397648,1.0502791,1.0550421,-0.48472269999999984,-0.31450664139890583
22,surrogate_cell_00022,1.5598278,1.0675536,1.0716842,-0.4881436000000001,-0.3114524003045699
23,surrogate_cell_00023,1.541734,1.0564475,1.0626559,-0.47907809999999995,-0.31959368150274886
24,surrogate_cell_00024,1.5433825,1.0586534,1.0640655,-0.479317,-0.3193771675538035
25,surrogate_cell_00025,1.5274396,1.041629,1.046301,-0.48113859999999997,-0.31772979983206545
26,surrogate_cell_00026,1.5307918,1.0436891,1.0493561,-0.4814357,-0.31746170853839484
27,surrogate_cell_00027,1.5390875,1.0582594,1.0636301,-0.47545740000000003,-0.3228883888701912
28,surrogate_cell_00028,1.5405442,1.0482531,1.0543406,-0.48620360000000007,-0.31318182983085463
29,surrogate_cell_00029,1.5378351,1.0532831,1.0584531,-0.479382,-0.31931827703369886
30,surrogate_cell_00030,1.5482644,1.0599421,1.0643862,-0.48387820000000015,-0.31526394357134846
31,surrogate_cell_00031,1.5451851,1.0535078,1.0578372,-0.48734790000000006,-0.31216090098528576
32,surrogate_cell_00032,1.5414478,1.0602226,1.0641686,-0.4772792000000001,-0.32122749193089445
33,surrogate_cell_00033,1.5296975,1.0556972,1.0590516,-0.47064589999999984,-0.3273057202856263
34,surrogate_cell_00034,1.4371544,1.0482261,1.0528972,-0.38425719999999997,-0.4153779861797891
35,surrogate_cell_00035,1.5448647,1.060322,1.064936,-0.4799286999999999,-0.31882327824142137
36,surrogate_cell_00036,1.517365,1.0342327,1.0393205,-0.4780445,-0.3205316740880046
37,surrogate_cell_00037,1.5574275,1.076776,1.080987,-0.47644050000000004,-0.3219913282569478
38,surrogate_cell_00038,1.5545218,1.0750376,1.079107,-0.4754148,-0.32292730250115326
39,surrogate_cell_00039,1.551739,1.0630897,1.0683861,-0.4833529000000001,-0.31573567140097075
40,surrogate_cell_00040,1.5346788,1.053825,1.0590191,-0.4756597,-0.32270364237575067
41,surrogate_cell_00041,1.5551684,1.0725726,1.0773218,-0.4778465999999999,-0.320711499758934
42,surrogate_cell_00042,1.5441279,1.0600867,1.0645043,-0.47962360000000004,-0.3190994554771878
43,surrogate_cell_00043,1.5473741,1.0609523,1.0650622,-0.4823119,-0.31667202267066863
44,surrogate_cell_00044,1.5407704,1.0628099,1.0675588,-0.47321159999999995,-0.32494461790151014
45,surrogate_cell_00045,1.5485972,1.063877,1.0677454,-0.48085179999999994,-0.3179887538946006
46,surrogate_cell_00046,1.5485272,1.0664809,1.0710955,-0.4774317000000001,-0.32108874854993297
47,surrogate_cell_00047,1.5468906,1.0540464,1.0580773,-0.4888132999999999,-0.3108569859928705
48,surrogate_cell_00048,1.553501,1.061898,1.0664487,-0.4870523,-0.3124244014500611
49,surrogate_cell_00049,1.5527692,1.0659126,1.070218,-0.48255120000000007,-0.31645660004408016
50,surrogate_cell_00050,1.5374544,1.0549614,1.0600363,-0.4774181000000002,-0.3211011199301317
51,surrogate_cell_00051,1.5396717,1.0575553,1.0627701,-0.4769015999999999,-0.32157122050922443
52,surrogate_cell_00052,1.5461092,1.0563481,1.0613267,-0.4847825000000001,-0.31445306600797274
53,surrogate_cell_00053,1.5507531,1.0624534,1.0678971,-0.4828560000000002,-0.3161823676528525
54,surrogate_cell_00054,1.5527258,1.0692425,1.0741578,-0.4785679999999999,-0.3200563443511019
55,surrogate_cell_00055,1.535084,1.0543633,1.0592815,-0.4758024999999999,-0.32257328038663274
56,surrogate_cell_00056,1.5516335,1.0694641,1.0741119,-0.4775216000000002,-0.32100697895127633
57,surrogate_cell_00057,1.5547496,1.0555667,1.0606029,-0.49414670000000016,-0.30614410058469516
