feature_name,feature_family,family,feature_source,operator_name,operator_type,is_true_curve_feature,is_proxy_feature,uses_raw_cycles_interpolated,uses_summary,uses_protocol,cycle_indices,step_type,x_axis,y_signal,requested_signal,resolved_signal,aggregation,transform,description,program_id,cycle_index_convention
discharge_capacity_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_capacity_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_capacity,discharge_capacity,discharge_capacity,last,,,scalar_baseline,raw_zero_based
discharge_capacity_mean_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_capacity,discharge_capacity,discharge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_0,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_1,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_2,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_4,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_9,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_10,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_49,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
charge_capacity_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,charge_capacity,charge_capacity,charge_capacity,last,,,scalar_baseline,raw_zero_based
charge_capacity_mean_cycle_99,capacity_summary,capacity_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,charge_capacity,charge_capacity,charge_capacity,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_0,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_0,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_1,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_1,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_2,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_2,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,2,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_4,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_4,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,4,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_9,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_9,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,9,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_10,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_10,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,10,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_49,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_49,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,49,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
discharge_energy_cycle_99,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_energy,discharge_energy,discharge_energy,last,,,scalar_baseline,raw_zero_based
discharge_energy_mean_cycle_99,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,99,,,discharge_energy,discharge_energy,discharge_energy,mean,,,scalar_baseline,raw_zero_based
charge_energy_cycle_0,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_energy,charge_energy,charge_energy,last,,,scalar_baseline,raw_zero_based
charge_energy_mean_cycle_0,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,0,,,charge_energy,charge_energy,charge_energy,mean,,,scalar_baseline,raw_zero_based
charge_energy_cycle_1,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_energy,charge_energy,charge_energy,last,,,scalar_baseline,raw_zero_based
charge_energy_mean_cycle_1,energy_summary,energy_summary,summary,cycle_scalar,cycle_scalar,False,False,False,True,False,1,,,charge_energy,charge_energy,charge_energy,mean,,,scalar_baseline,raw_zero_based
