C1,C2,C3,C4,upper_bound,lower_bound,mean_bound
4.8,5.6,5.2,3.935,-11.770899999999983,-65.98590000000002,-38.8784
6.0,4.4,4.8,4.328,109.41309999999999,3.8029000000000224,56.608000000000004
5.6,7.0,4.8,3.294,211.32180000000005,86.21289999999999,148.76735000000002
7.0,5.2,4.8,3.45,115.03309999999999,-4.391499999999951,55.32080000000002
5.6,5.2,4.4,4.252,160.67719999999997,52.52970000000005,106.60345000000001
8.0,7.0,4.8,2.8,165.33450000000005,57.777900000000045,111.55620000000005
5.6,6.0,5.2,3.381,118.7627,28.008000000000038,73.38535000000002
3.6,6.0,5.6,4.755,207.8111,115.32180000000005,161.56645000000003
6.0,4.4,5.2,4.047,82.42750000000001,-32.58839999999998,24.919550000000015
7.0,5.2,4.4,3.691,127.33690000000001,-0.8141000000000531,63.26139999999998
5.2,7.0,4.4,3.691,108.09280000000001,15.412599999999998,61.752700000000004
5.6,4.0,5.6,4.421,269.01070000000004,150.67470000000003,209.84270000000004
5.2,6.0,4.8,3.759,14.969500000000039,-52.37080000000003,-18.700649999999996
4.0,6.0,4.8,4.8,117.9171,37.99839999999995,77.95774999999998
5.6,5.6,4.4,4.017,94.47230000000002,5.580299999999966,50.02629999999999
8.0,4.4,5.2,3.463,260.3283,117.71349999999995,189.02089999999998
8.0,6.0,5.6,2.754,611.6221,422.0082,516.81515
8.0,4.8,5.2,3.25,263.41740000000004,136.59310000000005,200.00525000000005
6.0,6.0,5.2,3.25,247.57180000000005,113.35609999999997,180.46395
8.0,6.0,4.4,3.181,255.27499999999998,99.66099999999994,177.46799999999996
5.2,5.6,4.8,3.935,12.758299999999963,-49.50300000000004,-18.37235000000004
5.2,4.8,5.2,4.16,31.89930000000004,-51.07090000000005,-9.585800000000006
6.0,5.6,4.0,4.2,244.46069999999997,124.22080000000005,184.34075
4.4,7.0,4.8,3.924,36.008500000000026,-49.03129999999999,-6.5113999999999805
5.6,4.0,5.2,4.707,167.4565,66.80349999999999,117.13
7.0,7.0,4.4,3.122,268.6689,120.40920000000006,194.53905000000003
5.2,7.0,3.6,4.537,394.46659999999997,241.83190000000002,318.14925
4.8,6.0,4.4,4.328,46.13739999999996,-21.457700000000045,12.339849999999956
4.4,5.6,5.2,4.252,-7.407299999999964,-61.98760000000004,-34.69745
7.0,4.0,4.8,4.308,131.00710000000004,26.916500000000042,78.96180000000004
5.6,7.0,3.6,4.271,355.73119999999994,214.55409999999995,285.14264999999995
8.0,7.0,4.4,2.957,174.00300000000004,65.95339999999999,119.97820000000002
7.0,4.8,4.4,3.924,106.58950000000004,-18.91470000000004,43.8374
6.0,4.0,4.8,4.8,198.14210000000003,92.43809999999996,145.2901
5.6,6.0,4.0,4.2,179.82619999999997,61.22339999999997,120.52479999999997
6.0,5.2,5.6,3.381,306.3106,154.46699999999998,230.3888
8.0,4.4,4.0,4.328,282.1124,146.0118,214.0621
5.6,6.0,5.6,3.231,219.90419999999995,112.53340000000003,166.2188
6.0,4.4,4.4,4.714,298.4081,161.10670000000005,229.75740000000002
4.8,6.0,5.2,3.759,-1.455000000000041,-61.25699999999995,-31.355999999999995
