C1,C2,C3,C4
3.6,6.0,5.6,4.755
3.6,7.0,5.2,4.537
3.6,7.0,5.6,4.271
4.0,5.2,5.6,4.707
4.0,5.6,5.2,4.707
4.0,5.6,5.6,4.421
4.0,6.0,4.8,4.8
4.0,6.0,5.2,4.457
4.0,6.0,5.6,4.2
4.0,7.0,4.4,4.69
4.0,7.0,4.8,4.308
4.0,7.0,5.2,4.03
4.0,7.0,5.6,3.818
4.4,4.8,5.6,4.563
4.4,5.2,5.2,4.516
4.4,5.2,5.6,4.252
4.4,5.6,4.8,4.563
4.4,5.6,5.2,4.252
4.4,5.6,5.6,4.017
4.4,6.0,4.4,4.714
4.4,6.0,4.8,4.328
4.4,6.0,5.2,4.047
4.4,6.0,5.6,3.834
4.4,7.0,4.0,4.69
4.4,7.0,4.4,4.239
4.4,7.0,4.8,3.924
4.4,7.0,5.2,3.691
4.4,7.0,5.6,3.513
4.8,4.4,5.6,4.563
4.8,4.8,5.2,4.457
4.8,4.8,5.6,4.2
4.8,5.2,4.8,4.457
4.8,5.2,5.2,4.16
4.8,5.2,5.6,3.935
4.8,5.6,4.4,4.563
4.8,5.6,4.8,4.2
4.8,5.6,5.2,3.935
4.8,5.6,5.6,3.733
4.8,6.0,4.0,4.8
4.8,6.0,4.4,4.328
4.8,6.0,4.8,4.0
4.8,6.0,5.2,3.759
4.8,6.0,5.6,3.574
4.8,7.0,4.0,4.308
4.8,7.0,4.4,3.924
4.8,7.0,4.8,3.652
4.8,7.0,5.2,3.45
4.8,7.0,5.6,3.294
5.2,4.0,5.6,4.707
5.2,4.4,5.2,4.516
5.2,4.4,5.6,4.252
5.2,4.8,4.8,4.457
5.2,4.8,5.2,4.16
5.2,4.8,5.6,3.935
5.2,5.2,4.4,4.516
5.2,5.2,4.8,4.16
5.2,5.2,5.2,3.9
5.2,5.2,5.6,3.702
5.2,5.6,4.0,4.707
5.2,5.6,4.4,4.252
5.2,5.6,4.8,3.935
5.2,5.6,5.2,3.702
5.2,5.6,5.6,3.523
5.2,6.0,4.0,4.457
5.2,6.0,4.4,4.047
5.2,6.0,4.8,3.759
5.2,6.0,5.2,3.545
5.2,6.0,5.6,3.381
5.2,7.0,3.6,4.537
5.2,7.0,4.0,4.03
5.2,7.0,4.4,3.691
5.2,7.0,4.8,3.45
5.2,7.0,5.2,3.269
5.2,7.0,5.6,3.129
5.6,4.0,5.2,4.707
5.6,4.0,5.6,4.421
5.6,4.4,4.8,4.563
5.6,4.4,5.2,4.252
5.6,4.4,5.6,4.017
5.6,4.8,4.4,4.563
5.6,4.8,4.8,4.2
5.6,4.8,5.2,3.935
5.6,4.8,5.6,3.733
5.6,5.2,4.0,4.707
5.6,5.2,4.4,4.252
5.6,5.2,4.8,3.935
5.6,5.2,5.2,3.702
5.6,5.2,5.6,3.523
5.6,5.6,4.0,4.421
5.6,5.6,4.4,4.017
5.6,5.6,4.8,3.733
5.6,5.6,5.2,3.523
5.6,5.6,5.6,3.36
5.6,6.0,3.6,4.755
5.6,6.0,4.0,4.2
5.6,6.0,4.4,3.834
5.6,6.0,4.8,3.574
5.6,6.0,5.2,3.381
5.6,6.0,5.6,3.231
5.6,7.0,3.6,4.271
5.6,7.0,4.0,3.818
5.6,7.0,4.4,3.513
5.6,7.0,4.8,3.294
5.6,7.0,5.2,3.129
5.6,7.0,5.6,3.0
6.0,3.6,5.6,4.755
6.0,4.0,4.8,4.8
6.0,4.0,5.2,4.457
6.0,4.0,5.6,4.2
6.0,4.4,4.4,4.714
6.0,4.4,4.8,4.328
6.0,4.4,5.2,4.047
6.0,4.4,5.6,3.834
6.0,4.8,4.0,4.8
6.0,4.8,4.4,4.328
6.0,4.8,4.8,4.0
6.0,4.8,5.2,3.759
6.0,4.8,5.6,3.574
6.0,5.2,4.0,4.457
6.0,5.2,4.4,4.047
6.0,5.2,4.8,3.759
6.0,5.2,5.2,3.545
6.0,5.2,5.6,3.381
6.0,5.6,3.6,4.755
6.0,5.6,4.0,4.2
6.0,5.6,4.4,3.834
6.0,5.6,4.8,3.574
6.0,5.6,5.2,3.381
6.0,5.6,5.6,3.231
6.0,6.0,3.6,4.5
6.0,6.0,4.0,4.0
6.0,6.0,4.4,3.667
6.0,6.0,4.8,3.429
6.0,6.0,5.2,3.25
6.0,6.0,5.6,3.111
6.0,7.0,3.6,4.065
6.0,7.0,4.0,3.652
6.0,7.0,4.4,3.372
6.0,7.0,4.8,3.17
6.0,7.0,5.2,3.017
6.0,7.0,5.6,2.897
7.0,3.6,5.2,4.537
7.0,3.6,5.6,4.271
7.0,4.0,4.4,4.69
7.0,4.0,4.8,4.308
7.0,4.0,5.2,4.03
7.0,4.0,5.6,3.818
7.0,4.4,4.0,4.69
7.0,4.4,4.4,4.239
7.0,4.4,4.8,3.924
7.0,4.4,5.2,3.691
7.0,4.4,5.6,3.513
7.0,4.8,4.0,4.308
7.0,4.8,4.4,3.924
7.0,4.8,4.8,3.652
7.0,4.8,5.2,3.45
7.0,4.8,5.6,3.294
7.0,5.2,3.6,4.537
7.0,5.2,4.0,4.03
7.0,5.2,4.4,3.691
7.0,5.2,4.8,3.45
7.0,5.2,5.2,3.269
7.0,5.2,5.6,3.129
7.0,5.6,3.6,4.271
7.0,5.6,4.0,3.818
7.0,5.6,4.4,3.513
7.0,5.6,4.8,3.294
7.0,5.6,5.2,3.129
7.0,5.6,5.6,3.0
7.0,6.0,3.6,4.065
7.0,6.0,4.0,3.652
7.0,6.0,4.4,3.372
7.0,6.0,4.8,3.17
7.0,6.0,5.2,3.017
7.0,6.0,5.6,2.897
7.0,7.0,3.6,3.706
7.0,7.0,4.0,3.36
7.0,7.0,4.4,3.122
7.0,7.0,4.8,2.947
7.0,7.0,5.2,2.814
7.0,7.0,5.6,2.71
8.0,3.6,4.8,4.5
8.0,3.6,5.2,4.197
8.0,3.6,5.6,3.969
8.0,4.0,4.0,4.8
8.0,4.0,4.4,4.328
8.0,4.0,4.8,4.0
8.0,4.0,5.2,3.759
8.0,4.0,5.6,3.574
8.0,4.4,4.0,4.328
8.0,4.4,4.4,3.94
8.0,4.4,4.8,3.667
8.0,4.4,5.2,3.463
8.0,4.4,5.6,3.306
8.0,4.8,3.6,4.5
8.0,4.8,4.0,4.0
8.0,4.8,4.4,3.667
8.0,4.8,4.8,3.429
8.0,4.8,5.2,3.25
8.0,4.8,5.6,3.111
8.0,5.2,3.6,4.197
8.0,5.2,4.0,3.759
8.0,5.2,4.4,3.463
8.0,5.2,4.8,3.25
8.0,5.2,5.2,3.089
8.0,5.2,5.6,2.963
8.0,5.6,3.6,3.969
8.0,5.6,4.0,3.574
8.0,5.6,4.4,3.306
8.0,5.6,4.8,3.111
8.0,5.6,5.2,2.963
8.0,5.6,5.6,2.847
8.0,6.0,3.6,3.789
8.0,6.0,4.0,3.429
8.0,6.0,4.4,3.181
8.0,6.0,4.8,3.0
8.0,6.0,5.2,2.862
8.0,6.0,5.6,2.754
8.0,7.0,3.6,3.476
8.0,7.0,4.0,3.17
8.0,7.0,4.4,2.957
8.0,7.0,4.8,2.8
8.0,7.0,5.2,2.68
8.0,7.0,5.6,2.585
